cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,tile_k,tile_m,tile_n,pack,splitK,us,kernelName,err_ratio,tflops,bw
256,344,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,23.819,hgemm_bf16_96x128x64_S2TN_BP,0.0,424.03,1498.83
256,352,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,6.699,hgemm_bf16_96x64x128_S2TN_BP,0.0,220.39,1110.37
256,352,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,9.0795,hgemm_bf16_96x64x64_S2TN_BP,0.0,284.56,1403.9
256,352,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,24.179,hgemm_bf16_96x128x64_S2TN_BP,0.0,427.43,1482.62
256,360,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,6.859,hgemm_bf16_96x64x128_S2TN_BP,0.0,220.14,1095.21
256,360,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,9.539,hgemm_bf16_96x128x64_S2TN_BP,0.0,277.01,1349.16
256,360,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,23.819,hgemm_bf16_96x128x64_S2TN_BP,0.0,443.75,1511.22
256,368,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,7.079,hgemm_bf16_96x64x128_S2TN_BP,0.0,218.04,1071.59
256,368,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,9.279,hgemm_bf16_96x64x64_S2TN_BP,0.0,291.1,1400.21
256,368,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,23.859,hgemm_bf16_96x128x64_S2TN_BP,0.0,452.85,1514.86
256,376,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,7.399,hgemm_bf16_96x64x128_S2TN_BP,0.0,213.14,1035.21
256,376,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,8.879,hgemm_bf16_96x64x64_S2TN_BP,0.0,310.83,1477.12
256,376,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,11,64,96,128,1,1,24.0795,hgemm_bf16_96x128x64_S2TN_BP,0.0,458.46,1507.11
256,384,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,7.2674,hgemm_bf16_96x64x128_S2TN_BP,0.0,221.62,1064.1
256,384,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,29,128,96,128,1,1,9.1538,hgemm_bf16_96x128x128_S2TN_BP,0.0,307.91,1446.21
256,384,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,28,128,96,64,1,1,26.6561,hgemm_bf16_96x64x128_S2TN_BP,0.0,422.95,1366.97
256,392,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,24,128,48,256,1,1,8.0795,hgemm_bf16_48x256x128_S2TN_BP,0.0,203.5,966.27
256,392,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,10,64,96,64,1,1,10.439,hgemm_bf16_96x64x64_S2TN_BP,0.0,275.63,1279.93
