gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,4,9216,7168,29,0,13.3742,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,39.52,2476.28,0.0
gfx950,256,8,9216,7168,21,0,13.8391,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,76.38,2399.45,0.0
gfx950,256,16,9216,7168,21,0,14.3003,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,147.82,2334.38,0.0
gfx950,256,32,9216,7168,21,0,15.2927,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,276.46,2205.93,0.0
gfx950,256,64,9216,7168,21,0,15.2787,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,553.43,2254.06,0.0
gfx950,256,128,9216,7168,29,0,17.2059,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,982.89,2083.48,0.0
gfx950,256,256,9216,7168,37,0,19.2284,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,1759.01,2010.89,0.0
gfx950,256,512,9216,7168,49,0,26.407,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x128E,2561.66,1677.67,0.0
gfx950,256,1024,9216,7168,47,0,36.953,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,3661.18,1503.92,0.0
gfx950,256,2048,9216,7168,47,0,80.7199,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,3352.12,967.78,0.0
gfx950,256,4096,9216,7168,54,0,135.3548,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3998.13,910.26,0.0
gfx950,256,8192,9216,7168,54,0,236.4348,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4577.72,902.51,0.0
gfx950,256,16384,9216,7168,54,0,451.2622,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4796.91,872.53,0.0
